Reference;Customer;Ship To;BU;Element;Element Type;Date;Qtes
16965;N.D;MCI;STE MCI;History;Original History;01/04/2018;25
1050000001;N.D;MCI;STE MCI;History;Original History;01/04/2018;25
02E03947;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
4117;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
1117417615000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
1121016825000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
1125008415000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;20
1133008215000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;20
1,13301E+12;N.D;MCI;STE MCI;History;Original History;01/04/2018;30
119202/4.3;N.D;MCI;STE MCI;History;Original History;01/04/2018;250
1,2116E+11;N.D;MCI;STE MCI;History;Original History;01/04/2018;42.9
13028;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
1,30701E+12;N.D;MCI;STE MCI;History;Original History;01/04/2018;15
134-35SD/120GB;N.D;MCI;STE MCI;History;Original History;01/04/2018;100
134LR/100GB;N.D;MCI;STE MCI;History;Original History;01/04/2018;200
134LR/90GB;N.D;MCI;STE MCI;History;Original History;01/04/2018;200
134R/60;N.D;MCI;STE MCI;History;Original History;01/04/2018;100
134SES/70;N.D;MCI;STE MCI;History;Original History;01/04/2018;100
138153023001F;N.D;MCI;STE MCI;History;Original History;01/04/2018;300
149515035501F;N.D;MCI;STE MCI;History;Original History;01/04/2018;24
15158/20;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
15158/21;N.D;MCI;STE MCI;History;Original History;01/04/2018;1.5
1606R214R;N.D;MCI;STE MCI;History;Original History;01/04/2018;151.2
181/R;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
1C-250;N.D;MCI;STE MCI;History;Original History;01/04/2018;3975
1ET000001;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
200-SR/75;N.D;MCI;STE MCI;History;Original History;01/04/2018;90
21;N.D;MCI;STE MCI;History;Original History;01/04/2018;20
21334800;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
21338504;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
21389200;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
